Gene Name,GenBank Gene ID,Drug ID
EGFR,X00588,DB00002
EGFR,X00588, DB00317
EGFR,X00588, DB00530
EGFR,X00588, DB01259
EGFR,X00588, DB01269
EGFR,X00588, DB08916
EGFR,X00588, DB09330
EGFR,X00588, DB09559
EGFR,X00588, DB10772
EGFR,X00588, DB11828
EGFR,X00588, DB11963
EGFR,X00588, DB12202
EGFR,X00588, DB12267
EGFR,X00588, DB13164
EGFR,X00588, DB15327
EGFR,X00588, DB16390
EGFR,X00588, DB16695
OPRM1,L25119,DB00193
OPRM1,L25119, DB00295
OPRM1,L25119, DB00318
OPRM1,L25119, DB00327
OPRM1,L25119, DB00333
OPRM1,L25119, DB00497
OPRM1,L25119, DB00504
OPRM1,L25119, DB00611
OPRM1,L25119, DB00647
OPRM1,L25119, DB00652
OPRM1,L25119, DB00704
OPRM1,L25119, DB00708
OPRM1,L25119, DB00802
OPRM1,L25119, DB00813
OPRM1,L25119, DB00836
OPRM1,L25119, DB00844
OPRM1,L25119, DB00854
OPRM1,L25119, DB00899
OPRM1,L25119, DB00913
OPRM1,L25119, DB00921
OPRM1,L25119, DB00956
OPRM1,L25119, DB01081
OPRM1,L25119, DB01183
OPRM1,L25119, DB01192
OPRM1,L25119, DB01209
OPRM1,L25119, DB01227
OPRM1,L25119, DB01433
OPRM1,L25119, DB01439
OPRM1,L25119, DB01444
OPRM1,L25119, DB01452
OPRM1,L25119, DB01466
OPRM1,L25119, DB01497
OPRM1,L25119, DB01535
OPRM1,L25119, DB01548
OPRM1,L25119, DB01565
OPRM1,L25119, DB01571
OPRM1,L25119, DB06204
OPRM1,L25119, DB06230
OPRM1,L25119, DB06274
OPRM1,L25119, DB06738
OPRM1,L25119, DB06800
OPRM1,L25119, DB09049
OPRM1,L25119, DB09089
OPRM1,L25119, DB09173
OPRM1,L25119, DB09209
OPRM1,L25119, DB09272
OPRM1,L25119, DB09289
OPRM1,L25119, DB11130
OPRM1,L25119, DB11691
OPRM1,L25119, DB12543
OPRM1,L25119, DB14146
OPRM1,L25119, DB14881
AVPR1B,D31833,DB00035
AVPR1B,D31833, DB00067
AVPR1B,D31833, DB14642
SERPIND1,M12849,DB00407
SERPIND1,M12849, DB06271
FDPS,J05262,DB00282
FDPS,J05262, DB00399
FDPS,J05262, DB00630
FDPS,J05262, DB00710
FDPS,J05262, DB00884
FDPS,J05262, DB06548
MUT,M65131,DB00115
MUT,M65131, DB00200
VDR,J03258,DB00136
VDR,J03258, DB00146
VDR,J03258, DB00153
VDR,J03258, DB00169
VDR,J03258, DB00910
VDR,J03258, DB01070
VDR,J03258, DB01436
MDH2,AF047470,DB09092
KCNA1,L02750,DB00753
KCNA1,L02750, DB01028
KCNA1,L02750, DB01189
KCNA1,L02750, DB06637
KCNA1,L02750, DB11640
NNMT,U08021,DB00627
ABCC1,L05628,DB01138
pbpC,D38161,DB00355
pbpC,D38161, DB00493
pbpC,D38161, DB04570
ESR2,AB006590,DB00255
ESR2,AB006590, DB00286
ESR2,AB006590, DB00481
ESR2,AB006590, DB00675
ESR2,AB006590, DB00783
ESR2,AB006590, DB01108
ESR2,AB006590, DB01196
ESR2,AB006590, DB06202
ESR2,AB006590, DB13952
ESR2,AB006590, DB13953
ESR2,AB006590, DB13954
ESR2,AB006590, DB13955
ESR2,AB006590, DB13956
CSF3R,X55721,DB00019
CSF3R,X55721, DB00099
CSF3R,X55721, DB13144
CSF3R,X55721, DB13200
NR3C1,X03225,DB00180
NR3C1,X03225, DB00223
NR3C1,X03225, DB00240
NR3C1,X03225, DB00253
NR3C1,X03225, DB00288
NR3C1,X03225, DB00324
NR3C1,X03225, DB00394
NR3C1,X03225, DB00443
NR3C1,X03225, DB00547
NR3C1,X03225, DB00588
NR3C1,X03225, DB00591
NR3C1,X03225, DB00596
NR3C1,X03225, DB00620
NR3C1,X03225, DB00635
NR3C1,X03225, DB00663
NR3C1,X03225, DB00741
NR3C1,X03225, DB00764
NR3C1,X03225, DB00769
NR3C1,X03225, DB00834
NR3C1,X03225, DB00838
NR3C1,X03225, DB00846
NR3C1,X03225, DB00860
NR3C1,X03225, DB00896
NR3C1,X03225, DB00959
NR3C1,X03225, DB01013
NR3C1,X03225, DB01047
NR3C1,X03225, DB01130
NR3C1,X03225, DB01222
NR3C1,X03225, DB01234
NR3C1,X03225, DB01260
NR3C1,X03225, DB01380
NR3C1,X03225, DB01384
NR3C1,X03225, DB01410
NR3C1,X03225, DB06781
NR3C1,X03225, DB08867
NR3C1,X03225, DB08906
NR3C1,X03225, DB09091
NR3C1,X03225, DB09095
NR3C1,X03225, DB13158
NR3C1,X03225, DB13867
NR3C1,X03225, DB14512
NR3C1,X03225, DB14538
NR3C1,X03225, DB14539
NR3C1,X03225, DB14540
NR3C1,X03225, DB14541
NR3C1,X03225, DB14542
NR3C1,X03225, DB14543
NR3C1,X03225, DB14544
NR3C1,X03225, DB14596
NR3C1,X03225, DB14649
NR3C1,X03225, DB15566
GABRA1,X13584,DB00241
GABRA1,X13584, DB00273
GABRA1,X13584, DB00292
GABRA1,X13584, DB00306
GABRA1,X13584, DB00312
GABRA1,X13584, DB00371
GABRA1,X13584, DB00402
GABRA1,X13584, DB00418
GABRA1,X13584, DB00425
GABRA1,X13584, DB00463
GABRA1,X13584, DB00466
GABRA1,X13584, DB00474
GABRA1,X13584, DB00599
GABRA1,X13584, DB00753
GABRA1,X13584, DB00794
GABRA1,X13584, DB00837
GABRA1,X13584, DB00849
GABRA1,X13584, DB00898
GABRA1,X13584, DB00962
GABRA1,X13584, DB01028
GABRA1,X13584, DB01107
GABRA1,X13584, DB01154
GABRA1,X13584, DB01174
GABRA1,X13584, DB01198
GABRA1,X13584, DB01205
GABRA1,X13584, DB01236
GABRA1,X13584, DB01341
GABRA1,X13584, DB01346
GABRA1,X13584, DB01351
GABRA1,X13584, DB01352
GABRA1,X13584, DB01353
GABRA1,X13584, DB01354
GABRA1,X13584, DB01355
GABRA1,X13584, DB01437
GABRA1,X13584, DB01483
GABRA1,X13584, DB01496
GABRA1,X13584, DB01567
GABRA1,X13584,DB00186
GABRA1,X13584, DB00189
GABRA1,X13584, DB00228
GABRA1,X13584, DB00231
GABRA1,X13584, DB00237
GABRA1,X13584, DB00241
GABRA1,X13584, DB00349
GABRA1,X13584, DB00404
GABRA1,X13584, DB00475
GABRA1,X13584, DB00546
GABRA1,X13584, DB00628
GABRA1,X13584, DB00683
GABRA1,X13584, DB00690
GABRA1,X13584, DB00801
GABRA1,X13584, DB00818
GABRA1,X13584, DB00829
GABRA1,X13584, DB00842
GABRA1,X13584, DB00897
GABRA1,X13584, DB01068
GABRA1,X13584, DB01159
GABRA1,X13584, DB01189
GABRA1,X13584, DB01215
GABRA1,X13584, DB01489
GABRA1,X13584, DB01511
GABRA1,X13584, DB01544
GABRA1,X13584, DB01545
GABRA1,X13584, DB01553
GABRA1,X13584, DB01558
GABRA1,X13584, DB01559
GABRA1,X13584, DB01587
GABRA1,X13584, DB01588
GABRA1,X13584, DB01589
GABRA1,X13584, DB01594
GABRA1,X13584, DB01595
GABRA1,X13584, DB01956
GABRA1,X13584, DB09017
GABRA1,X13584, DB09118
GABRA1,X13584, DB09166
GABRA1,X13584, DB11582
GABRA1,X13584, DB11859
GABRA1,X13584, DB12404
GABRA1,X13584, DB13335
GABRA1,X13584, DB13437
GABRA1,X13584, DB13643
GABRA1,X13584, DB13837
GABRA1,X13584, DB13872
GABRA1,X13584, DB14028
GABRA1,X13584, DB14672
GABRA1,X13584, DB14715
GABRA1,X13584, DB14719
GABRA1,X13584, DB15489
GABRA1,X13584, DB06579
HTR1B,D10995,DB00216
HTR1B,D10995, DB00315
HTR1B,D10995, DB00320
HTR1B,D10995, DB00669
HTR1B,D10995, DB00696
HTR1B,D10995, DB00952
HTR1B,D10995, DB00953
HTR1B,D10995, DB00998
HTR1B,D10995, DB09068
HTR1B,D10995,DB01049
HTR1B,D10995, DB01239
HTR1B,D10995, DB11273
HTR1B,D10995, DB13025
HTR1B,D10995, DB13345
parC,M58408,DB00817
parC,M58408, DB11943
parC,M58408, DB12924
gyrB,X04341,DB00817
fabF,Z34979,DB01034
fabB,M24427,DB01034
NPC1L1,AF192522,DB00973
folP,X68776,DB00259
folP,X68776, DB00263
folP,X68776, DB00576
folP,X68776, DB00634
folP,X68776, DB01015
folP,X68776, DB01298
folP,X68776, DB01581
folP,X68776, DB01582
folP,X68776, DB06729
folP,X68776, DB06821
folP,X68776, DB14033
ileS,X74219,DB00410
alr,AF214487,DB00260
HCAR3,D10923,DB00627
HCAR3,D10923, DB08949
MGAM,AF016833,DB00284
MGAM,AF016833, DB00491
MGAM,AF016833, DB04878
SRC,AL133293,DB01254
SRC,AL133293, DB06137
YES1,M15990,DB01254
EPHA2,M59371,DB01254
EPHA2,M59371, DB08896
LCK,X05027,DB01254
rplC,AE006477,DB01256
rplC,AE006477, DB06145
OXTR,X64878,DB00067
OXTR,X64878, DB00107
OXTR,X64878, DB01282
OXTR,X64878, DB09059
CD86,L25259,DB00098
CD86,L25259, DB01281
CD86,L25259, DB06681
CD80,M27533,DB01281
CD80,M27533, DB04901
CD80,M27533, DB06681
MC2R,X65633,DB01284
MC2R,X65633, DB01285
MC2R,X65633, DB09334
CHRNA4,L35901,DB00184
CHRNA4,L35901, DB01273
CHRNA4,L35901,DB00202
CHRNB2,X53179,DB00184
CHRNB2,X53179,DB00202
PDGFRA,M21574,DB01268
PDGFRA,M21574, DB06043
PDGFRA,M21574, DB06589
PDGFRA,M21574, DB06595
PDGFRA,M21574, DB08896
PDGFRA,M21574, DB09078
PDGFRA,M21574, DB09079
PDGFRA,M21574, DB10772
PDGFRA,M21574, DB14840
CSF1R,M25786,DB01268
CSF1R,M25786, DB12978
DPP4,U13735,DB01261
DPP4,U13735, DB04876
DPP4,U13735, DB06203
DPP4,U13735, DB06335
DPP4,U13735, DB08382
DPP4,U13735, DB08882
C5,M57729,DB00028
C5,M57729, DB01257
PLIN3,AF057140,DB01279
GLP1R,U01104,DB01276
GLP1R,U01104, DB06655
GLP1R,U01104, DB09043
GLP1R,U01104, DB09045
GLP1R,U01104, DB09265
GLP1R,U01104, DB13928
IGF1R,X04434,DB01277
IGF1R,X04434, DB09098
IGF1R,X04434, DB14751
RAMP1,AJ001014,DB01278
RAMP2,AJ001015,DB01278
RAMP3,AJ001016,DB01278
CACNA1H,AF051946,DB00270
CACNA1H,AF051946, DB00568
CACNA1H,AF051946, DB00909
CACNA1H,AF051946, DB01244
CACNA1H,AF051946, DB01388
CACNA1H,AF051946, DB04841
CACNA1H,AF051946,DB00228
CACNA1H,AF051946, DB11148
CACNA1H,AF051946,DB09231
CACNA1H,AF051946, DB09238
CARTPT,U16826,DB00182
MAP2K1,L05624,DB05239
MAP2K1,L05624, DB08911
MAP2K1,L05624, DB11689
PTK2B,U33284,DB11817
CYP51A1,U23942,DB01167
GAA,Y00839,DB00491
SLC22A11,AB026116,DB01032
SLC22A11,AB026116, DB11560
HDAC9,AY032737,DB00313
HDAC9,AY032737,DB05015
HDAC9,AY032737, DB06603
GART,X54199,DB00642
CTLA4,AF411058,DB06186
FADS1,AC004770,DB00132
DNMT1,X63692,DB00928
DNMT1,X63692, DB01262
ALPPL2,J03252,DB01143
FCGR3B,X16863,DB00028
FCGR3B,X16863, DB06607
PRDX5,AJ249483,DB00995
CCR5,X91492,DB04835
MET,J02958,DB08865
MET,J02958, DB08875
MET,J02958, DB11791
MET,J02958, DB15133
MET,J02958, DB16695
IL6,X04430,DB09036
IL6,X04430, DB10772
IL6,X04430, DB13127
CXCR4,L01639,DB06809
MMP1,X54925,DB00786
MAPK1,M84489,DB01169
ADORA2A,M97370,DB00201
ADORA2A,M97370, DB00277
ADORA2A,M97370, DB00640
ADORA2A,M97370, DB00651
ADORA2A,M97370, DB00806
ADORA2A,M97370, DB01303
ADORA2A,M97370, DB01412
ADORA2A,M97370, DB06213
ADORA2A,M97370, DB11757
ADORA2A,M97370, DB14132
F2R,M62424,DB09030
PROS1,M15036,DB00464
IFNG,X13274,DB01250
IFNG,X13274, DB10772
IFNG,X13274, DB14724
HTR6,L41147,DB01488
