Gene Name,GenBank Gene ID,Drug ID
SCN8A,AF050736,DB00252
SCN8A,AF050736,DB00907
SCN8A,AF050736, DB05541
SCN8A,AF050736, DB13269
SCN8A,AF050736,DB00273
SCN8A,AF050736, DB00555
SCN8A,AF050736, DB00564
SCN8A,AF050736, DB09085
SCN8A,AF050736, DB09088
SCN8A,AF050736, DB09342
SCN8A,AF050736, DB09345
folP1,AB028658,DB00250
folP2,U15180,DB00250
ESRRG,AF094518,DB00255
COMT,M65212,DB00323
COMT,M65212, DB00494
COMT,M65212, DB11632
CYP19A1,M22246,DB00357
CYP19A1,M22246, DB00894
CYP19A1,M22246, DB00990
CYP19A1,M22246, DB01006
CYP19A1,M22246, DB01217
FGB,J00129,DB11300
FGB,J00129, DB11311
FGB,J00129, DB11571
FGB,J00129, DB11572
FGB,J00129, DB13151
FGG,M10014,DB11300
FGG,M10014, DB11571
FGG,M10014, DB11572
C1R,X04701,DB06404
C1R,X04701, DB09228
FCGR3A,X52645,DB00028
FCGR3A,X52645, DB06607
FCGR3A,X52645, DB12023
FCGR3A,X52645, DB16695
FCGR2A,M31932,DB00028
FCGR2A,M31932, DB06607
FCGR2B,U87560,DB00028
FCGR2B,U87560, DB00098
FCGR2C,X17652,DB00028
IL2RG,D11086,DB00041
PRG2,Y00809,DB06752
CSF2RB,M59941,DB00020
HPN,M18930,DB00522
COL3A1,X14420,DB00048
FGFR1,X51803,DB00398
